,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
106,agglomerative,9,,0.4679799535448376,22.671943374740074,0.3284469718993741,,,single,,
107,agglomerative,10,,0.41220384514214425,20.49744593666752,0.3381776682449875,,,single,,
108,agglomerative,11,,0.3951498921663975,18.904749823312912,0.33933007769953566,,,single,,
109,agglomerative,12,,0.4434337402768163,217.69823777088007,0.33036245381851,,,single,,
110,agglomerative,13,,0.4428690389693796,201.24459744240107,0.33722431611175324,,,single,,
111,agglomerative,14,,0.4330243824650301,186.36808543268495,0.33862831916658914,,,single,,
112,agglomerative,15,,0.4317248328794768,174.41948313753605,0.3330158323997069,,,single,,
113,agglomerative,16,,0.42995095518949067,163.85452683886908,0.32810703300144034,,,single,,
114,agglomerative,17,,0.4286576581566406,154.16551956405206,0.32872090108926877,,,single,,
115,agglomerative,18,,0.39477964972639096,145.41494036567485,0.3340856479852941,,,single,,
116,agglomerative,19,,0.3948247277939931,138.10352267705173,0.3298288342294365,,,single,,
117,agglomerative,20,,0.3956817172831313,132.42940337069237,0.3717692327672449,,,single,,
118,agglomerative,21,,0.3874322352806672,126.25963715987336,0.37010040068634203,,,single,,
119,agglomerative,22,,0.3880778928878634,121.75311407846893,0.3894554900396356,,,single,,
120,agglomerative,23,,0.38768838578367765,116.32082202502492,0.3593304358706714,,,single,,
121,agglomerative,24,,0.3874054278301893,112.06016327470847,0.3681091229181072,,,single,,
122,agglomerative,25,,0.382930809748145,107.41521796479167,0.3499368509582934,,,single,,
123,agglomerative,26,,0.3837746360875317,104.29330737090689,0.35075816746961175,,,single,,
124,agglomerative,27,,0.3840232321888395,101.02230821917318,0.3496325079117652,,,single,,
125,agglomerative,28,,0.3878415497276435,103.31720354548973,0.35446931986139923,,,single,,
126,agglomerative,29,,0.38583117343143997,100.18889368309532,0.37240003039891423,,,single,,
127,agglomerative,30,,0.34992177167475524,96.91607770297335,0.37469771948246816,,,single,,
128,agglomerative,31,,0.345594004497598,94.07979589982858,0.3901777107844959,,,single,,
129,agglomerative,32,,0.34199263961026205,91.05842494790832,0.3810571772742555,,,single,,
130,agglomerative,33,,0.34217099324813205,88.60765600153132,0.3783650348854558,,,single,,
131,agglomerative,34,,0.30433774548615805,86.04866112472266,0.3816678256047686,,,single,,
0,birch,10,,0.14948836267466556,980.7049078590155,1.2994613472405585,,,,0.43,45.0
1,birch,11,,0.15141914142708862,935.7877045729342,1.2273431813472229,,,,0.43,45.0
2,birch,12,,0.10177600842540316,889.168816760374,1.373983979371827,,,,0.43,45.0
3,birch,13,,0.09307815235759763,848.183274060971,1.4653440213479587,,,,0.43,45.0
4,birch,14,,0.09439443500795339,808.3894021660726,1.4376826835158825,,,,0.43,45.0
5,birch,15,,0.07381015724561647,772.5416590044322,1.5750609489662482,,,,0.43,45.0
6,birch,16,,0.07372686700440997,740.2451716725063,1.5528708882054936,,,,0.43,45.0
7,birch,17,,0.07436413208805445,711.9975217008829,1.5044970426654845,,,,0.43,45.0
8,birch,18,,0.0773757201534639,687.8415914201236,1.509493153193381,,,,0.43,45.0
9,birch,19,,0.08069369577318482,665.6952849402195,1.4962287336952176,,,,0.43,45.0
10,birch,20,,0.08492813340789705,645.0937420905608,1.4873530212970958,,,,0.43,45.0
11,birch,21,,0.08511939320344802,625.6222378676678,1.48806077232114,,,,0.43,45.0
12,birch,22,,0.07644971329664514,607.958707673983,1.5434975240305442,,,,0.43,45.0
13,birch,23,,0.07876744845797172,591.7574283827192,1.5475647305722577,,,,0.43,45.0
14,birch,24,,0.07987627206451925,577.2329742407114,1.5029633677180232,,,,0.43,45.0
15,birch,25,,0.06638648200809923,565.3758203164701,1.5177397801717003,,,,0.43,45.0
16,birch,26,,0.06537871709183049,553.3421392045398,1.5548523111152441,,,,0.43,45.0
17,birch,27,,0.06734502935123217,541.9286362109639,1.6260881228709454,,,,0.43,45.0
18,birch,28,,0.06881255764161627,530.0539360279238,1.5966964781097117,,,,0.43,45.0
